id,TCGA-DD-AACL_StageI,TCGA-WJ-A86L_StageI,TCGA-EP-A2KC_StageI,TCGA-K7-A5RF_StageI,TCGA-G3-AAUZ_StageI,TCGA-DD-AAD1_StageI,TCGA-BD-A3EP_StageI,TCGA-DD-AAE6_StageI,TCGA-DD-AADJ_StageI,TCGA-DD-AAVZ_StageI,TCGA-2Y-A9GX_StageI,TCGA-DD-A1EG_StageI,TCGA-DD-AAE2_StageI,TCGA-XR-A8TC_StageI,TCGA-FV-A2QR_StageI,TCGA-DD-AAD2_StageI,TCGA-FV-A2QQ_StageI,TCGA-K7-A6G5_StageI,TCGA-DD-A4NN_StageI,TCGA-2Y-A9HB_StageI,TCGA-ED-A7PX_StageII,TCGA-DD-AACH_StageII,TCGA-ZS-A9CD_StageII,TCGA-5R-AA1C_StageII,TCGA-FV-A3I0_StageII,TCGA-ED-A5KG_StageII,TCGA-CC-5258_StageII,TCGA-DD-AAVU_StageII,TCGA-4R-AA8I_StageII,TCGA-KR-A7K7_StageII,TCGA-K7-AAU7_StageII,TCGA-5C-A9VG_StageII,TCGA-UB-A7MA_StageII,TCGA-CC-A9FS_StageII,TCGA-DD-A1EH_StageIII,TCGA-DD-A39W_StageIII,TCGA-CC-A7IE_StageIII,TCGA-BC-4073_StageIII,TCGA-CC-A7IH_StageIII,TCGA-CC-A3MA_StageIII,TCGA-BC-A216_StageIII,TCGA-CC-A7II_StageIII,TCGA-ED-A82E_StageIII,TCGA-LG-A9QD_StageIII,TCGA-DD-A4NE_StageIII,TCGA-G3-A25T_StageIII,TCGA-ED-A7XO_StageIII,TCGA-BW-A5NP_StageIV,TCGA-DD-A119_StageIV,TCGA-DD-A1EK_StageIV
TMEM167AP2,1.24156,0.368568,0.326433,0.14017,0.245435,0.419501,0.514144,0.18062,0.207336,0.525674,0.503,0.389312,0.549614,0.275975,0.261445,0.67318,0.358322,0.379001,0.430005,0.590203,0.770886,0.450064,0.562733,0.843392,0.399621,0.803987,1.04737,0.491665,0.742137,0.290055,0.693958,0.654249,0.228013,0.537511,0.716821,0.460328,0.315289,0.891176,0.337279,0.481051,0.440182,0.954474,0.605151,0.40952,0.470334,0.302854,0.620653,0.636973,0.576442,0.347782
PKD1L1-AS1,0.430005,0.40952,0.67318,0.399621,0.389312,0.379001,0.843392,0.368568,0.358322,0.347782,0.742137,0.636973,0.337279,0.326433,0.891176,0.419501,0.693958,0.302854,0.290055,0.275975,0.803987,0.261445,0.245435,0.228013,0.716821,1.04737,0.207336,0.18062,0.14017,0.315289,1.24156,0.954474,0.770886,0.562733,0.605151,0.590203,0.576442,0.620653,0.537511,0.525674,0.549614,0.503,0.654249,0.491665,0.481051,0.470334,0.460328,0.450064,0.440182,0.514144
CHMP1A,0.576442,0.525674,0.693958,0.460328,0.326433,0.40952,0.742137,0.891176,0.389312,0.337279,0.430005,1.04737,0.605151,0.290055,0.654249,0.491665,0.716821,0.503,0.440182,0.514144,5.49301,0.470334,0.636973,0.562733,5.2837,0.843392,0.302854,0.481051,0.803987,0.770886,1.24156,5.03325,0.67318,0.358322,0.368568,0.419501,0.347782,0.537511,0.620653,5.4397,0.399621,5.14653,5.34428,0.450064,0.315289,5.46172,0.954474,0.379001,0.549614,0.590203
RNU6-1315P,0.337279,0.460328,0.450064,0.440182,0.430005,0.419501,0.40952,0.399621,0.389312,0.379001,0.368568,0.358322,0.347782,0.470334,0.326433,0.315289,0.302854,0.290055,0.275975,0.261445,0.245435,0.228013,0.207336,0.18062,0.14017,0.605151,0.954474,0.891176,0.843392,0.803987,0.770886,0.742137,0.716821,0.693958,0.67318,0.654249,0.636973,0.620653,1.04737,0.590203,0.576442,1.24156,0.562733,0.549614,0.537511,0.525674,0.514144,0.503,0.491665,0.481051
OR55B1P,0.337279,0.450064,0.440182,0.430005,0.419501,0.40952,0.399621,0.389312,0.379001,0.368568,0.358322,0.347782,0.460328,0.326433,0.315289,0.302854,0.290055,0.275975,1.04737,0.261445,0.245435,0.228013,0.207336,0.18062,0.14017,0.605151,0.891176,0.843392,0.803987,0.770886,0.742137,0.716821,0.693958,0.67318,0.654249,0.636973,0.620653,0.954474,0.590203,0.576442,0.562733,0.549614,0.537511,0.525674,1.24156,0.514144,0.503,0.491665,0.481051,0.470334
NBPF2P,0.716821,0.389312,0.337279,0.590203,0.18062,0.399621,0.636973,0.693958,0.207336,0.549614,0.537511,0.525674,0.576442,0.275975,0.67318,0.450064,0.228013,0.503,1.04737,0.347782,1.24156,0.954474,0.290055,0.620653,0.891176,0.803987,0.491665,0.379001,0.514144,0.245435,0.654249,0.40952,0.419501,0.562733,0.605151,0.470334,0.430005,0.460328,0.326433,0.770886,0.261445,0.368568,0.742137,0.481051,0.440182,0.315289,0.302854,0.843392,0.358322,0.14017
HTR1D,0.636973,0.503,0.460328,0.549614,0.18062,0.261445,0.576442,0.654249,0.315289,0.481051,0.40952,0.290055,0.326433,0.537511,0.347782,0.514144,0.693958,0.245435,0.207336,0.337279,0.358322,0.67318,0.450064,0.954474,0.891176,0.525674,0.742137,0.562733,0.770886,1.24156,1.04737,0.590203,0.716821,0.302854,0.275975,5.58345,0.620653,0.379001,0.440182,0.419501,0.389312,0.470334,0.368568,0.228013,0.430005,0.491665,0.399621,0.605151,0.803987,0.843392
SNORD74B,0.337279,0.450064,0.440182,0.430005,0.419501,0.40952,0.399621,0.389312,0.379001,1.24156,0.368568,0.358322,0.347782,0.460328,0.326433,0.315289,0.302854,0.290055,0.275975,0.261445,0.245435,0.228013,0.207336,0.18062,0.14017,0.605151,0.954474,0.891176,0.843392,0.803987,0.770886,0.742137,0.716821,0.693958,0.67318,0.654249,0.636973,0.620653,1.04737,0.590203,0.576442,0.562733,0.549614,0.537511,0.525674,0.514144,0.503,0.491665,0.481051,0.470334
RN7SL160P,0.954474,0.440182,0.430005,0.419501,0.40952,0.399621,0.389312,0.379001,0.368568,0.358322,0.347782,0.337279,0.450064,0.315289,0.302854,0.290055,0.275975,0.261445,0.742137,0.245435,0.228013,0.207336,0.18062,0.14017,0.326433,1.24156,0.67318,0.620653,0.605151,0.843392,0.576442,0.562733,0.549614,0.525674,0.514144,0.503,0.491665,0.693958,0.470334,0.803987,0.537511,0.770886,0.460328,0.716821,0.654249,0.590203,0.891176,1.04737,0.636973,0.481051
LTK,0.503,0.290055,0.40952,0.716821,0.620653,0.742137,0.654249,0.315289,0.525674,0.954474,0.770886,0.347782,0.275975,0.399621,0.228013,0.636973,0.450064,0.326433,0.891176,0.440182,0.514144,0.389312,0.460328,0.14017,1.24156,0.843392,0.379001,0.207336,0.549614,0.481051,0.491665,0.590203,1.04737,0.605151,0.419501,0.261445,0.67318,0.368568,0.470334,0.562733,0.302854,0.803987,0.537511,0.430005,0.358322,0.576442,0.693958,0.245435,0.337279,0.18062
LINC02270,0.481051,0.843392,0.537511,0.14017,0.18062,0.326433,0.430005,0.419501,0.40952,0.399621,0.389312,0.379001,0.368568,0.358322,0.347782,0.337279,0.440182,0.315289,0.302854,0.290055,0.275975,0.261445,0.245435,0.228013,0.207336,0.891176,1.24156,0.562733,0.770886,0.742137,0.716821,0.693958,0.67318,0.654249,0.636973,0.620653,0.605151,0.590203,0.576442,0.803987,0.549614,1.04737,0.525674,0.514144,0.503,0.491665,0.954474,0.470334,0.460328,0.450064
RN7SL684P,0.803987,1.04737,0.491665,0.460328,0.18062,0.40952,0.399621,0.693958,0.389312,0.716821,0.379001,0.620653,0.368568,0.358322,0.347782,0.337279,0.326433,0.419501,0.302854,0.290055,0.843392,0.275975,0.261445,0.245435,0.228013,0.891176,0.207336,0.450064,0.14017,0.315289,0.742137,0.576442,0.562733,0.549614,0.525674,0.514144,0.503,0.605151,0.470334,1.24156,0.654249,0.67318,0.770886,0.636973,0.430005,0.954474,0.440182,0.481051,0.537511,0.590203
RNA5SP447,0.337279,0.450064,0.440182,0.430005,1.04737,0.419501,0.40952,0.399621,0.389312,0.379001,0.368568,0.358322,0.347782,0.460328,0.326433,0.315289,0.302854,0.290055,0.275975,0.261445,0.245435,0.228013,0.207336,0.18062,0.14017,0.590203,0.891176,0.843392,0.803987,0.770886,0.742137,0.716821,0.693958,0.67318,0.654249,0.636973,0.620653,0.605151,0.954474,0.576442,0.562733,0.549614,0.537511,0.525674,0.514144,0.503,1.24156,0.491665,0.481051,0.470334
ANKRD20A17P,0.40952,1.04737,0.770886,0.562733,0.470334,0.207336,0.716821,0.358322,0.419501,0.389312,0.379001,0.368568,0.954474,0.347782,0.337279,0.326433,0.67318,0.636973,0.315289,0.399621,0.290055,0.605151,0.275975,0.843392,0.261445,0.654249,0.245435,0.228013,1.24156,0.693958,0.18062,0.14017,0.302854,0.549614,0.590203,0.440182,0.450064,0.537511,0.891176,0.491665,0.803987,0.620653,0.525674,0.514144,0.503,0.481051,0.576442,0.460328,0.430005,0.742137
RPL21P13,0.399621,0.891176,0.537511,0.693958,0.770886,0.620653,0.207336,0.275975,0.337279,0.18062,0.379001,0.368568,0.358322,0.654249,0.347782,0.636973,1.24156,0.549614,0.326433,0.315289,0.302854,0.525674,0.605151,0.389312,0.843392,0.261445,0.245435,0.228013,0.803987,0.491665,0.14017,0.290055,0.576442,0.954474,0.503,0.419501,0.590203,0.514144,0.440182,0.562733,0.460328,0.470334,0.481051,0.450064,0.430005,0.40952,1.04737,0.742137,0.67318,0.716821
GANAB,6.48161,6.34818,6.03273,5.94115,5.38176,6.48296,6.56367,6.30839,5.67897,6.04578,6.1453,6.65736,6.9148,6.25389,6.69065,6.42675,5.4304,6.11109,5.48898,6.19045,6.98331,7.04397,5.86744,6.16848,6.6453,6.42823,7.02557,5.98451,6.99141,5.66874,6.55109,6.47508,6.04826,6.04933,6.7319,6.21246,6.52246,6.93277,5.36319,6.52011,6.29745,7.13105,6.51987,5.68955,7.16819,6.12307,6.46607,6.38405,5.93274,6.79822
