ID	TCGA_BC_A10Q_LIHC_NT	TCGA_BC_A10T_LIHC_NT	TCGA_BC_A10W_LIHC_NT	TCGA_2V_A95S_LIHC_TP	TCGA_2Y_A9GS_LIHC_TP	TCGA_2Y_A9GU_LIHC_TP	TCGA_A7_A0CE_BRCA_NT	TCGA_A7_A0CH_BRCA_NT	TCGA_A7_A0D9_BRCA_NT	TCGA_3C_AAAU_BRCA_TP	TCGA_3C_AALJ_BRCA_TP	TCGA_3C_AALK_BRCA_TP
ENSG00000183354	388	328	304	396	383	310	568.8889	485.9426	883.9104	676.9099	199.456	284.6504
ENSG00000134313	1110	1124	978	355	976	168	2026.6667	1879.0785	3313.1365	1365.5383	1962.8286	956.144
ENSG00000138160	48	30	43	3104	3924	2234	160.9524	101.5515	64.1548	2121.0304	1608.3409	1717.0046
ENSG00000136883	481	188	636	84	195	55	1102.8571	327.9737	2.0367	78.9269	77.9692	53.7857
ENSG00000137177	869	357	539	70	10	4	1477.1429	1284.0621	3045.8248	3.1019	60.7434	35.5813
ENSG00000197892	954	737	1058	179	284	154	2068.127	1864.0339	1379.8371	570.0657	258.3862	260.6537
ENSG00000118193	13	8	12	1394	2312	2171	19.6825	11.6596	5.6008	455.9836	331.8223	832.0232
ENSG00000163808	13	1	4	193	252	116	34.6032	9.779	15.2749	1454.8049	91.5684	294.9938
ENSG00000089177	549	325	335	803	786	395	1498.7302	749.2243	896.1303	443.5759	300.9973	463.3844
ENSG00000117245	54	18	47	1353	1755	1684	65.3968	81.6173	67.2098	2350.9178	1456.029	1435.664
ENSG00000121621	4	0	4	266.28	358.97	305.51	32.381	12.788	4.5825	885.494	712.6564	426.6115
ENSG00000186185	22	7	16	171	267	14	31.4286	14.6685	3.5642	572.1336	259.2928	207.2818
ENSG00000196169	33	21	76	1887	1681	1340	13.9683	32.346	8.6558	2178.2438	1688.1233	1298.3037
ENSG00000130294	12	3	7	3255	1671	2412	19.6825	19.1819	1.0183	1831.517	2250.2267	2319.818
ENSG00000054523	845	785	918	1264	1609	1783	1265.7143	1425.858	2736.2525	584.886	517.6791	527.9272
ENSG00000129250	2648	2739	3401	590	2023	806	3443.4921	5142.2661	10233.1976	1351.0626	810.5168	910.2193
ENSG00000112984	36	8	19	169	265	60	90.7937	42.8773	19.8574	92.0239	70.7162	213.0741
ENSG00000138182	65	30	43	1036	2442	1386	159.3651	110.9544	134.4196	1567.853	809.6102	814.2325
ENSG00000139116	982	628	1053	6	2	33	180.6349	185.4255	216.3951	19.6456	38.9846	57.0956
ENSG00000116852	51	31	107	2125	2717	1362	140.9524	184.2971	101.833	614.182	891.2058	942.077
ENSG00000079616	667	662	1260	66	170	31	961.2698	754.1138	340.6314	310.1929	106.0743	98.4692
ENSG00000137807	15	8	25	811	2031	928	122.2222	51.528	18.8391	1625.411	883.9529	1302.8548
ENSG00000186638	30	7	21	609	1279	863	108.5714	59.8025	32.5866	716.5457	653.6718	489.4497
ENSG00000125337	4	11	12	1479	4269	1197	1.9048	15.7969	34.1141	2061.0598	898.4587	556.8887
ENSG00000066735	33	51	35	830	1639	1403	177.1429	347.5317	313.6456	301.2318	332.7289	335.9537
ENSG00000162849	38	12	31	1932	2742	1815	50.4762	28.2087	8.1466	2739.0037	2081.5956	1996.2764
ENSG00000165115	20	33	16	71	159	1	80	28.5849	71.2831	577.6482	621.9402	473.314
ENSG00000068796	118	93	142	1	0	1	340.6349	305.0306	609.9796	0.3447	0.9066	8.2747
ENSG00000142945	28	9	7	18	202	5	70.4762	73.3427	22.9124	365.683	76.1559	201.4894
ENSG00000131437	110	64	77	1481	3293	1485	314.2857	176.3987	123.7271	1252.8348	2668.1777	3925.7054
ENSG00000101350	1460	1372	2014	15	176	211	1697.4603	1759.0973	2264.2566	0.3447	10.8794	0
ENSG00000084731	35	48	66	13	59	206	399.3651	451.3399	233.7067	1157.3643	456.029	790.2358
ENSG00000090889	31	10	13	48.72	12	2	43.4921	27.8326	9.165	76.3075	20.6165	62.8548
ENSG00000226650	2	4	1	858	1594	710	0.3175	4.1373	0.5092	1844.9587	687.2167	808.854
ENSG00000155980	0	0	0	185	385	125	27.3016	2.2567	0.5092	295.3726	315.5032	294.5801
ENSG00000170759	1765	1831	2220	766	648	469	3692.6984	4272.6845	6543.279	740.6718	1406.165	659.909
ENSG00000168280	8	25	23	1451	2877	2635	648.8889	369.7226	29.0224	1423.0963	3340.8885	1314.8531
ENSG00000164627	8	12	9	16	92	34	12.6984	9.0268	10.1833	677.9439	356.301	219.6938
ENSG00000166813	38	12	40	1115	49	47	333.8603	239.1199	149.9644	15829.4904	10873.9801	10677.6996
ENSG00000088727	61	67.74	114	51	159	20	220.854	132.7692	62.1894	150.6159	118.767	114.1911
ENSG00000075945	506	522	575	1300	1537	1199	926.0317	907.1932	900.7128	2705.9164	807.7969	1784.8573
ENSG00000237649	26	25	18	24	57	4	154.6032	98.9187	24.9491	671.0507	458.7489	154.3235
ENSG00000167702	190.75	32.84	394.36	801	477	280	242.3016	222.9431	124.9847	144.412	171.3509	62.4741
